p,d,q,AIC,BIC,RMSE,status
2,0,5,42219.89159838145,42309.393643895135,5265.476549789297,success
2,0,6,42191.60006421479,42286.687425497854,5181.465913480717,success
2,1,0,42518.055704839804,42579.6049649072,5588.3245838020375,success
2,1,1,42397.39106898116,42464.53571632741,4980.332577803929,success
2,1,2,42338.4988584533,42411.23235548711,9700.464158631472,success
2,1,3,42280.74814898093,42359.069486376655,5061.787375556951,success
2,1,4,42268.97612045027,42352.88428811935,5183.459651732588,success
2,1,5,42203.10239354919,42292.59638063913,8152.3623496354185,success
2,1,6,42173.5782810438,42268.65707593717,8608.374664518611,success
3,0,0,42401.22485790452,42468.36950525077,5277.533421313911,success
3,0,1,42364.41764109599,42437.15767572109,5269.8827843504305,success
3,0,2,42309.30902401444,42387.64444591839,5302.342804656112,success
3,0,3,42259.44249274045,42343.365758548694,5263.052493317311,success
3,0,4,42242.61337797622,42332.12347785704,5257.920516011988,success
3,0,5,42205.354579621344,42300.45050297963,5246.351507316763,success
3,0,6,42173.825984344934,42274.50671982112,5273.051732019079,success
3,1,0,42338.311857254885,42405.45046990148,5803.979911877694,success
3,1,1,42326.70765001592,42399.44114704973,5789.600352352443,success
3,1,2,42327.92831835278,42406.25669977381,5853.685424413772,success
3,1,3,42236.47621227921,42320.39193091749,5001.473807911693,success
3,1,4,42269.21061331674,42358.71265883042,5067.228498175634,success
3,1,5,42187.56646956607,42282.65383084913,8694.7011102121,success
3,1,6,42152.71974558089,42253.3914107621,8076.758413823246,success
4,0,0,42272.10885798998,42344.84235502379,5244.360924265343,success
4,0,1,42270.23736057194,42348.56574199297,5237.339192924582,success
4,0,2,42267.223140182396,42351.14640599064,5240.223722841626,success
4,0,3,42247.392749060185,42336.91089925565,5203.559129367525,success
4,0,4,42229.21032610361,42324.31480722699,5195.621953651411,success
4,0,5,42217.42927041354,42318.11907161643,5249.016716368473,success
4,0,6,42185.41838530393,42291.692494973235,5230.23482434622,success
4,1,0,42304.906478268895,42377.63343442207,5823.097142506696,success
4,1,1,42306.699333389486,42385.02067078521,5818.428664995136,success
4,1,2,42306.051383357,42389.96710199528,5827.762158864947,success
4,1,3,42264.37562233721,42353.88572221804,9344.836985486581,success
4,1,4,42222.28878047479,42317.38470383307,4997.11101622023,success
4,1,5,42185.98769497898,42286.66843045517,8262.973247617658,success
4,1,6,42167.84162618607,42274.10616165512,8164.325008306702,success
5,0,0,42248.29914398528,42326.620481381,5236.106811318613,success
5,0,1,42248.95584484704,42332.87156348532,5238.755553782624,success
5,0,2,42247.757749651995,42337.26784953282,5246.042838187809,success
