StateCode,State,Model_Class,Rank,Order,Selection_RMSE,Holdout_RMSE,AIC,BIC
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,4,"(1, 0, 4)",2469.587599234036,304.8666557294205,12004.08917967409,12092.63448404875
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,5,"(1, 0, 1)",2480.252498265731,313.0838083989462,11997.239023945494,12071.865585816518
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,6,"(6, 0, 1)",2535.2853255237696,275.2522965304901,11944.542146333592,12042.38077033231
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,7,"(1, 0, 0)",2541.581112565296,280.45643989012797,12175.297299177284,12245.279054320625
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,8,"(0, 0, 6)",2592.4864872886874,292.4332363969143,12070.204994466014,12163.35866020487
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,9,"(2, 0, 0)",2603.049763052385,352.2044208546649,12096.104892493991,12170.731454365014
HIICLAIMS,Hawaii,Rolling-CV SARIMAX + Google Trends,10,"(5, 0, 0)",2610.4577551591656,353.0528143746799,11956.254647598158,12044.799951972816
HIICLAIMS,Hawaii,Simple SARIMAX,1,"(0, 1, 5)",304.7158043460148,304.7158043460148,33690.36567330661,33768.98674831511
HIICLAIMS,Hawaii,Simple SARIMAX,2,"(0, 1, 6)",306.66257989105554,306.66257989105554,33658.25902437726,33742.488499474646
HIICLAIMS,Hawaii,Simple SARIMAX,3,"(8, 0, 1)",316.6368119680319,316.6368119680319,33646.27582512675,33747.35119524362
HIICLAIMS,Hawaii,Simple SARIMAX,4,"(4, 1, 1)",333.5244840924989,333.5244840924989,33705.73318031803,33784.368041639806
HIICLAIMS,Hawaii,Simple SARIMAX,5,"(2, 1, 3)",339.9883057688027,339.9883057688027,33706.80626562356,33785.441126945334
HIICLAIMS,Hawaii,Simple SARIMAX,6,"(1, 1, 5)",343.9898210465783,343.9898210465783,33664.810920733755,33749.04778681429
HIICLAIMS,Hawaii,Simple SARIMAX,7,"(4, 1, 2)",346.739576094098,346.739576094098,33703.59060283432,33787.84223996479
HIICLAIMS,Hawaii,Simple SARIMAX,8,"(2, 1, 6)",347.46059741772734,347.46059741772734,33652.97047572307,33748.43054750011
HIICLAIMS,Hawaii,Simple SARIMAX,9,"(2, 1, 5)",352.4402980877815,352.4402980877815,33666.444060491915,33756.29671764449
HIICLAIMS,Hawaii,Simple SARIMAX,10,"(1, 1, 2)",354.3735625484075,354.3735625484075,33725.20003712013,33792.607250883666
INICLAIMS,Indiana,ARIMA,1,"(1, 1, 0)",912.3391378882384,912.3391378882384,37884.10283116333,37895.295615771465
INICLAIMS,Indiana,ARIMA,2,"(0, 1, 2)",912.4004889462622,912.4004889462622,37884.96595733566,37901.755134247855
INICLAIMS,Indiana,ARIMA,3,"(1, 1, 1)",912.5659883131872,912.5659883131872,37884.94600604688,37901.73518295907
INICLAIMS,Indiana,ARIMA,4,"(0, 1, 1)",912.6285605486185,912.6285605486185,37882.97012842454,37894.16291303267
INICLAIMS,Indiana,ARIMA,5,"(0, 1, 5)",912.8914570278074,912.8914570278074,37738.79853849583,37772.376892320215
INICLAIMS,Indiana,ARIMA,6,"(2, 1, 0)",913.2116653308832,913.2116653308832,37882.43251665775,37899.22169356994
INICLAIMS,Indiana,ARIMA,7,"(3, 1, 0)",913.6509801391536,913.6509801391536,37840.46799249618,37862.85356171244
INICLAIMS,Indiana,ARIMA,8,"(0, 1, 4)",914.2867317126615,914.2867317126615,37759.36193229127,37787.3438938116
INICLAIMS,Indiana,ARIMA,9,"(0, 1, 0)",917.1144285202364,917.1144285202364,37913.20293937405,37918.799331678114
