p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
7,1,4,5180.308947577011,11765.789631323581,11882.199200028615,16,16
7,1,5,3716.734548283459,11759.720504555644,11880.786456008878,16,16
7,1,6,3674.0353094346806,11757.395576731251,11883.117910932688,16,16
8,0,0,2900.8990643306242,11890.158260162958,11992.598680623387,16,16
8,0,1,2716.5649555939576,11959.711532341027,12066.808335549656,16,16
8,0,2,2703.368610602357,11960.928093584593,12072.681279541426,16,16
8,0,3,2717.467383449336,11975.522960435796,12091.932529140828,16,16
8,0,4,2695.7038937939465,11928.252747960634,12049.31869941387,16,16
8,0,5,2721.048391329105,11925.221343666159,12050.943677867594,16,16
8,0,6,2707.6256728694143,11927.595068357552,12057.97378530719,16,16
8,1,0,3739.5204532145854,11776.962608219468,11879.37437865238,16,16
8,1,1,3869.2095700183245,11773.409443415861,11880.476294322994,16,16
8,1,2,3674.2361583650268,11773.407889652935,11885.129821034292,16,16
8,1,3,5056.319737929412,11745.777457397548,11862.154469253128,16,16
8,1,4,inf,14124.419025966266,14245.451118296069,16,16
8,1,5,3566.254275169451,11745.879985170663,11871.567157974689,16,16
8,1,6,3738.036458755876,11742.063719788262,11872.40597306651,16,16
